Full-Text Downloads for 2012-02-01 through 2013-09-20 for Berkeley Law Scholarship Repository																						
Title	URL	First published	2/1/2012	3/1/2012	4/1/2012	5/1/2012	6/1/2012	7/1/2012	8/1/2012	9/1/2012	10/1/2012	11/1/2012	12/1/2012	1/1/2013	2/1/2013	3/1/2013	4/1/2013	5/1/2013	6/1/2013	7/1/2013	8/1/2013	9/1/2013
Introduction to Law and Economics	http://works.bepress.com/robert_cooter/56	1/20/2004	966	312	241	225	142	157	189	260	255	172	164	213	326	242	2156	2891	194	126	283	339
Predatory Pricing	http://works.bepress.com/aaron_edlin/74	12/27/2009	107	146	151	149	48	38	42	39	46	45	27	27	24	37	38	33	17	23	28	18
Andrew Jackson and Presidential Power	http://works.bepress.com/johnyoo/27	7/10/2008	104	161	113	95	34	11	5	7	24	47	19	17	37	20	31	13	4	9	5	4
Why LDCs Sign Treaties That Hurt Them: Explaining the Popularity of Bilateral Investment Treaties	http://works.bepress.com/andrew_guzman/15	4/1/2008	85	115	96	86	56	83	76	62	68	51	50	77	52	33	55	37	40	64	38	25
The International Whaling Commission & The North Atlantic Marine Mammal Commission: The Institutional Risks of Coercion for Consensual Structures	http://works.bepress.com/david_caron/14	5/29/2008	76	72	77	72	34	20	29	42	58	73	50	46	51	72	84	75	32	33	49	24
The Legitimacy of the Collective Authority of the Security Council	http://works.bepress.com/david_caron/13	5/29/2008	73	80	97	73	37	30	47	51	111	154	61	47	49	94	139	88	27	26	30	34
The American Airlines Case:  A Chance to Clarify Predation Policy	http://works.bepress.com/aaron_edlin/26	1/23/2004	62	61	84	69	23	14	16	8	16	21	10	10	18	18	31	16	8	8	9	2
The Fiduciary Relationship: Its Economic Character and Legal Consequences	http://works.bepress.com/robert_cooter/16	1/20/2004	60	70	71	71	62	64	69	61	51	45	42	56	33	54	68	43	40	47	46	30
Damages for Breach of Contract	http://works.bepress.com/robert_cooter/15	1/20/2004	58	78	89	109	97	90	66	66	61	66	53	61	45	72	65	47	22	40	27	27
Show Me The Money	http://works.bepress.com/aaron_edlin/64	4/15/2009	51	37	38	36	16	12	13	10	10	2	2	2	4	4	13	10	4	2	4	2
The Rule of State Law and the Rule-of-Law State: Economic Analysis of the Legal Founations of Development	http://works.bepress.com/robert_cooter/48	1/20/2004	46	32	36	38	42	20	20	28	21	36	26	15	32	33	49	40	41	17	14	18
Market-based Transfer Prices and Intracompany Discounts	http://works.bepress.com/aaron_edlin/19	1/23/2004	42	33	42	83	56	31	21	27	37	28	33	16	6	20	37	20	25	17	14	18
The Strategic Constitution	http://works.bepress.com/robert_cooter/51	1/20/2004	37	39	41	22	30	34	19	27	17	43	17	46	14	30	18	19	17	11	21	18
Fixing Failed States	http://works.bepress.com/johnyoo/52	3/12/2010	36	32	64	63	30	7	4	43	12	16	9	13	3	11	20	7	7	9	2	3
"Forward Discount Bias, Nalebuff's Envelope Puzzle, and the Siegel Paradox in Foreign Exchange"	http://works.bepress.com/aaron_edlin/29	1/23/2004	35	67	53	56	45	29	47	26	44	35	19	45	33	38	46	34	32	35	19	22
The Accident Externality from Driving	http://works.bepress.com/aaron_edlin/21	1/23/2004	35	36	69	96	50	22	53	115	57	36	77	32	17	17	30	29	2	4	5	3
Economic Theories of Legal Liability	http://works.bepress.com/robert_cooter/29	1/20/2004	35	16	15	21	14	19	24	18	15	16	6	13	31	15	17	19	9	11	8	11
A Compliance-Based Theory of International Law	http://works.bepress.com/andrew_guzman/8	3/31/2008	33	47	50	30	26	18	22	91	40	35	21	24	13	34	25	17	14	16	16	8
"Exclusion or Efficient Pricing: The ""Big Deal"" Bundling of Academic Journals"	http://works.bepress.com/aaron_edlin/37	10/14/2004	33	34	25	24	27	12	12	97	24	11	7	20	8	106	22	10	10	13	12	12
Economic Analysis of Legal Disputes and Their Resolution	http://works.bepress.com/robert_cooter/30	1/20/2004	33	35	35	36	45	23	31	24	30	37	28	36	30	28	35	44	62	30	44	19
Solomon's Knot: How Law Can End the Poverty of Nations	http://works.bepress.com/robert_cooter/156	5/2/2011	30	33	67	53	28	21	19	34	39	16	19	27	30	69	116	314	21	31	21	19
The People and the Strangers:  Narratives and a Theory of American Indian Life	http://works.bepress.com/robert_cooter/53	1/20/2004	30	32	20	21	13	9	8	16	8	6	3	11	8	10	9	10	10	18	5	4
Specific Investment Under Negotiated Transfer Pricing: An Efficiency Result 	http://works.bepress.com/aaron_edlin/4	1/23/2004	29	16	38	19	27	10	11	9	13	8	10	8	7	5	17	10	6	11	6	7
"Don't Tax the Rich, Tax Inequality"	http://works.bepress.com/aaron_edlin/80	12/20/2011	29	14	19	21	10	10	11	17	5	6	8	8	10	19	15	2	9	5	5	5
"Three Effects of Social Norms on Law: Expression, Deterrence, and Internalization"	http://works.bepress.com/robert_cooter/6	1/20/2004	28	24	38	41	39	16	25	46	22	37	25	28	25	43	30	20	15	15	12	18
Global Governance and the WTO	http://works.bepress.com/andrew_guzman/26	4/21/2008	28	31	33	30	18	9	10	20	24	31	16	24	30	24	25	29	21	7	13	7
Is College Financial Aid Equitable and Efficient?	http://works.bepress.com/aaron_edlin/1	1/23/2004	27	38	51	18	12	13	11	26	33	35	26	15	26	21	18	7	6	7	3	9
The Basis of Responsibility: Attribution and Other Transubstantive Rules of State Responsibility	http://works.bepress.com/david_caron/65	6/3/2008	27	18	34	39	9	4	4	7	11	14	11	17	13	19	42	18	10	16	2	11
Strict Single Crossing and the Spence-Mirrlees Condition: A Comment on Monotone Comparative Statics	http://works.bepress.com/aaron_edlin/11	1/23/2004	27	31	26	42	28	16	20	20	21	26	18	11	20	30	27	30	23	18	11	20
Comparative Judicial Discretion: An Empirical Test of Economic Models	http://works.bepress.com/robert_cooter/28	1/20/2004	26	26	20	28	20	23	20	22	74	30	18	13	26	18	35	25	14	17	15	8
Voting as a Rational Choice:  Why and How People Vote to Improve the Well-Being of Others	http://works.bepress.com/aaron_edlin/42	3/22/2006	23	33	40	39	10	12	14	32	36	54	32	17	29	38	45	25	18	7	9	28
Economic Analysis of Punitive Damages	http://works.bepress.com/robert_cooter/24	1/20/2004	22	19	35	41	44	17	24	27	20	62	17	14	20	15	25	25	19	8	13	13
The Alien Tort Statute: An Overview of the Current Issues	http://works.bepress.com/david_caron/101	5/5/2010	22	15	29	16	6	3	1	2	1	3	0	0	1	1	0	2	2	1	0	3
The ILC Articles on State Responsibility: The Paradoxical Relationship Between Form and Authority	http://works.bepress.com/david_caron/35	5/30/2008	21	24	22	21	17	22	18	19	20	21	32	27	16	18	21	15	18	10	15	17
The Confluence of Justice and Efficiency in the Economic Analysis of Law	http://works.bepress.com/robert_cooter/106	1/27/2006	21	17	38	22	15	10	15	12	6	9	9	7	10	5	11	8	8	3	5	2
