Full-Text Downloads for 2013-11-01 through 2014-01-31 for Berkeley Law Scholarship Repository					
Title	URL	First published	11/1/2013	12/1/2013	1/1/2014
Dissolving Cities	http://scholarship.law.berkeley.edu/facpubs/1945	8/15/2013	1145	67	2
An Historical Perspective on the Attorney-Client Privilege	http://scholarship.law.berkeley.edu/californialawreview/vol66/iss5/5	7/17/2012	752	248	8
Hans Kelsen and His Pure Theory of Law	http://scholarship.law.berkeley.edu/californialawreview/vol40/iss1/2	7/20/2012	717	625	33
Double Tax Treaties and Their Interpretation	http://scholarship.law.berkeley.edu/bjil/vol4/iss1/1	9/24/2012	618	434	37
Sexual Slavery and the Comfort Women of World War II	http://scholarship.law.berkeley.edu/bjil/vol21/iss2/6	9/24/2012	586	379	12
How to Prepare and Serve a Federal Notice of Deposition or Subpoena (with Forms)	http://scholarship.law.berkeley.edu/facpubs/303	9/17/2012	538	336	27
The New Penology: Notes on the Emerging Strategy of Corrections and Its Implications	http://scholarship.law.berkeley.edu/facpubs/718	9/18/2012	499	455	25
Enforcement of Arbitral Awards under the New York Convention - Practice in U.S. Courts	http://scholarship.law.berkeley.edu/bjil/vol3/iss2/2	9/24/2012	460	361	23
Plain English for Lawyers	http://scholarship.law.berkeley.edu/californialawreview/vol66/iss4/3	7/17/2012	406	307	19
Fast Food: Oppression through Poor Nutrition	http://scholarship.law.berkeley.edu/californialawreview/vol95/iss6/8	7/9/2012	390	297	2
"Social Construction of Race: Some Observations on Illusion, Fabrication, and Choice, The"	http://scholarship.law.berkeley.edu/facpubs/1815	12/7/2012	375	299	10
People v. Meredith: The Attorney-Client Privilege and the Criminal Defendant's Constitutional Rights	http://scholarship.law.berkeley.edu/californialawreview/vol70/iss4/10	7/17/2012	366	178	2
Corporate Social Responsibility in China: Window Dressing or Structural Change	http://scholarship.law.berkeley.edu/bjil/vol28/iss1/3	9/24/2012	362	274	15
"Cooperation in International Relations: A Comparison of Keohane, Haas and Franck"	http://scholarship.law.berkeley.edu/bjil/vol14/iss1/5	9/24/2012	355	322	22
Responsibility of the State under International Law for the Breach of Contract Committed by a State-Owned Entity	http://scholarship.law.berkeley.edu/bjil/vol28/iss1/5	9/24/2012	338	246	18
The Principle of Hadley v. Baxendale	http://scholarship.law.berkeley.edu/californialawreview/vol80/iss3/2	7/10/2012	333	162	7
Forsaken and Forgotten: The U.S. Internment of Japanese Peruvians During World War II	http://scholarship.law.berkeley.edu/aalj/vol9/iss1/5	9/10/2013	324	239	0
Gender Discrimination and the Transformation of Workplace Norms	http://scholarship.law.berkeley.edu/facpubs/981	9/18/2012	315	232	4
Two Models of the Criminal Justice System: An Organizational Perspective	http://scholarship.law.berkeley.edu/facpubs/1560	9/20/2012	313	261	11
Separate Entity of Parent and Subsidiary Corporations	http://scholarship.law.berkeley.edu/californialawreview/vol14/iss1/1	7/24/2012	284	259	18
Googling Freedom	http://scholarship.law.berkeley.edu/californialawreview/vol99/iss1/1	7/9/2012	257	314	26
"Tax Consequences of Interest Rate Swaps: Characterization by Function, Not Prejudice"	http://scholarship.law.berkeley.edu/bjil/vol6/iss1/6	9/23/2012	240	176	7
Indecent Exposure: Do Warrantless Searches of a Student's Cell Phone Violate the Fourth Amendment?	http://scholarship.law.berkeley.edu/bjcl/vol17/iss1/2	2/22/2013	239	218	5
"Why State Consent Still Matters - Non-State Actors, Treaties, and the Changing Sources of International Law"	http://scholarship.law.berkeley.edu/bjil/vol23/iss1/4	9/24/2012	231	161	10
The Trafficking of Ethiopian Domestic Workers into Lebanon: Navigating through a Novel Passage of the International Maid Trade	http://scholarship.law.berkeley.edu/bjil/vol24/iss3/7	9/24/2012	219	312	9
